time,roll_deg,roll_rate_deg_s,torque_Nm,total_thrust_N
0.0,2.0,0.0,-0.14161017175353047,9.815979629571443
0.002,1.998586879794903,-0.7065601025486214,-0.134093025219329,9.81597117833678
0.004,1.9958356525812937,-1.375613606804835,-0.12690173164839774,9.815954741658224
0.006,1.991818079886751,-2.0087863472711582,-0.12002278107507368,9.815930780197268
0.008,1.9866028063850636,-2.6076367508436724,-0.11344321781249449,9.815899747616234
0.01,1.9802554891803217,-3.17365860237104,-0.10715061776735457,9.815862088992901
0.012,1.9728389217862694,-3.7082836970260975,-0.10113306668259839,9.81581823948953
0.014,1.9644131530180293,-4.212884384119976,-0.09537913927009911,9.815768623248859
0.016,1.955035601004431,-4.688776006799266,-0.08987787919692214,9.815713652492281
0.018000000000000002,1.944761162520661,-5.137219241885214,-0.08461877989026129,9.815653726797727
0.020000000000000004,1.9336423178327817,-5.559422343939651,-0.07959176612756469,9.815589232536913
0.022000000000000006,1.9217292312378311,-5.956543297475364,-0.0747871763797357,9.815520542453523
0.024000000000000007,1.909069847475694,-6.329691881068338,-0.07019574587660801,9.815448015365732
0.02600000000000001,1.8957099841817426,-6.679931646975666,-0.06580859036515375,9.815371995978039
0.02800000000000001,1.8816934205423117,-7.008281819715458,-0.061617190532091415,9.815292814788858
0.030000000000000013,1.8670619823084638,-7.315719116923784,-0.05761337706372009,9.815210788081695
0.032000000000000015,1.8518556233171277,-7.603179495668078,-0.053789316316916594,9.815126217988889
0.034000000000000016,1.8361125036625956,-7.871559827266351,-0.05013749657629886,9.815039392618075
0.03600000000000002,1.8198690646555216,-8.121719503536905,-0.046650714873581176,9.81495058623251
0.03800000000000002,1.8031601007009543,-8.354481977283584,-0.04332206434612741,9.814860059477262
0.04000000000000002,1.7860188282215406,-8.57063623970686,-0.04014492211264806,9.814768059644226
0.04200000000000002,1.7684769517468986,-8.770938237321038,-0.03711293764489068,9.814674820969547
0.044000000000000025,1.7505647272851939,-8.956112230852337,-0.03422002161503597,9.814580564957792
0.04600000000000003,1.7323110230882108,-9.126852098491351,-0.03146033519934359,9.81448550072785
0.04800000000000003,1.713743377916658,-9.283822585776338,-0.0288282798193865,9.814389825376017
0.05000000000000003,1.6948880569080769,-9.42766050429068,-0.026318487302975466,9.814293724352336
0.05200000000000003,1.6757701051455398,-9.558975881268543,-0.023925810447609025,9.814197371846651
0.054000000000000034,1.6564133990213055,-9.678353062117136,-0.021645313969983704,9.814100931181272
0.056000000000000036,1.6368406954857417,-9.786351767781776,-0.019472265825775714,9.814004555207525
0.05800000000000004,1.617073679268139,-9.883508108801264,-0.017402128884548188,9.813908386703815
0.06000000000000004,1.597133008152488,-9.970335557825413,-0.015430552945259524,9.813812558773103
0.06200000000000004,1.5770383563878998,-10.047325882294198,-0.013553367078441542,9.813717195237993
0.06400000000000004,1.556808456310083,-10.114950038908384,-0.01176657228168597,9.813622411031885
0.06600000000000004,1.5364611382471731,-10.173659031454935,-0.010066334435624685,9.813528312584829
0.06800000000000005,1.5160133687802004,-10.223884733486447,-0.008448977548112774,9.813434998202975
0.07000000000000005,1.4954812874256154,-10.266040677292628,-0.0069109772748262716,9.81334255844063
0.07200000000000005,1.4748802418045293,-10.300522810542994,-0.005448954704968659,9.813251076464127
0.07400000000000005,1.4542248213606825,-10.327710221923486,-0.004059670401242915,9.813160628406866
0.07600000000000005,1.4335288896866112,-10.347965837035712,-0.0027400186836885054,9.813071283714967
0.07800000000000006,1.41280561551506,-10.36163708577554,-0.001487022147409034,9.812983105483129
0.08000000000000006,1.3920675024303437,-10.369056542358036,-0.0002978264046236412,9.812896150780375
0.08200000000000006,1.3713264173521278,-10.370542539108033,0.0008303049581331046,9.812810470965442
0.08400000000000006,1.3505936178419482,-10.366399755089764,0.0018999952164635847,9.812726111991658
0.08600000000000006,1.3298797782807381,-10.356919780605143,0.002913759146650971,9.812643114701247
0.08800000000000006,1.3091950149636415,-10.342381658548183,0.0038740074743908864,9.812561515108984
0.09000000000000007,1.2885489101565164,-10.323052403562572,0.004783051141473926,9.812481344675277
0.09200000000000007,1.2679505351566949,-10.299187499910756,0.0056431053978658885,9.812402630568709
0.09400000000000007,1.247408472398843,-10.271031378925688,0.006456293726327375,9.812325395918156
0.09600000000000007,1.2269308366450817,-10.23881787688081,0.007224651606422633,9.812249660054652
0.09800000000000007,1.2065252952969228,-10.202770674079613,0.007950130124487725,9.812175438743111
0.10000000000000007,1.1861990878650561,-10.163103715933348,0.00863459943585794,9.812102744404175
0.10200000000000008,1.165959044631528,-10.120021616764056,0.009279852085398568,9.812031586326333
0.10400000000000008,1.1458116045374482,-10.073720047039904,0.009887606192134829,9.811961970868593
0.10600000000000008,1.1257628323280062,-10.024386104720882,0.010459508503539772,9.811893901653923
0.10800000000000008,1.105818434985276,-9.972198671365234,0.010997137324812015,9.81182737975373
0.11000000000000008,1.085983777478035,-9.917328753620314,0.011502005328256848,9.811762403863616
0.11200000000000009,1.0662638978566428,-9.859939810696126,0.011975562247674904,9.81169897047073
0.11400000000000009,1.0466635217198523,-9.800188068395286,0.012419197462462728,9.811637074012914
0.11600000000000009,1.027187076079353,-9.738222820249682,0.012834242475936161,9.811576707029994
0.11800000000000009,1.00783870264677,-9.674186716291597,0.013221973292203773,9.811517860307434
0.12000000000000009,0.9886222705668389,-9.608216039965502,0.013583612695740252,9.811460523012657
0.1220000000000001,0.9695413886195071,-9.540440973665975,0.013920332437640043,9.811404682824293
0.1240000000000001,0.9505994169127725,-9.470985853367354,0.014233255332368439,9.811350326054633
0.12600000000000008,0.9317994780871892,-9.399969412791727,0.014523457268671644,9.81129743776554
0.12800000000000009,0.9131444680521019,-9.327505017543528,0.014791969138157335,9.811246001878107
0.1300000000000001,0.8946370662728588,-9.253700889621536,0.01503977868491349,9.811196001276267
0.1320000000000001,0.8762797456274543,-9.17866032270226,0.015267832279396057,9.811147417904676
0.1340000000000001,0.8580747818503092,-9.10248188857254,0.015477036619682735,9.811100232861058
0.1360000000000001,0.8400242625801614,-9.025259635073795,0.01566826036306526,9.811054426483265
0.1380000000000001,0.8221300960283504,-8.947083275905513,0.015842335690829185,9.81100997843131
0.1400000000000001,0.8043940192831079,-8.868038372621276,0.016000059808954747,9.81096686776456
0.1420000000000001,0.7868176062648338,-8.788206509137098,0.016142196387360266,9.81092507301434
0.1440000000000001,0.7694022753467163,-8.707665459058688,0.016269476940202268,9.810884572252148
0.1460000000000001,0.7521492966544728,-8.626489346121764,0.01638260214964385,9.810845343153671
0.1480000000000001,0.7350597990584179,-8.544748798027435,0.01648224313540389,9.810807363058842
0.1500000000000001,0.7181347768705314,-8.462511093943215,0.01656904267230544,9.810770609028081
0.1520000000000001,0.7013750962586732,-8.379840305929115,0.01664361635795071,9.810735057894934
0.1540000000000001,0.6847815013895979,-8.296797434537638,0.01670655373256305,9.810700686315286
0.1560000000000001,0.6683546203119453,-8.213440538826369,0.016758419352952927,9.810667470813302
0.1580000000000001,0.652094970589921,-8.129824861012038,0.016799753822484997,9.810635387824291
0.16000000000000011,0.63600296469795,-8.046002945985578,0.01683107477884606,9.810604413734602
0.16200000000000012,0.6200789151861525,-7.96202475589876,0.016852877841340957,9.810574524918763
0.16400000000000012,0.6043230396261039,-7.8779377800243,0.016865637519371757,9.810545697773957
0.16600000000000012,0.5887354653459377,-7.793787140083153,0.016869808083689,9.81051790875201
0.16800000000000012,0.5733162339634881,-7.709615691224716,0.01686582440193783,9.81049113438899
0.17000000000000012,0.5580653057258118,-7.625464118838087,0.016854102739959936,9.810465351332581
0.17200000000000013,0.5429825636630814,-7.541371031365264,0.016835041530252837,9.810440536367338
0.17400000000000013,0.5280678175645213,-7.457373049280131,0.01680902210893008,9.810416666437911
0.17600000000000013,0.5133208077837405,-7.373504890390396,0.016776409422471092,9.810393718670403
0.17800000000000013,0.49874120888051404,-7.289799451613232,0.01673755270549737,9.810371670391932
0.18000000000000013,0.4843286331057757,-7.206287887369157,0.016692786130760015,9.810350499148502
0.18200000000000013,0.47008263373631,-7.1229996847328385,0.016642429432476374,9.810330182721286
0.18400000000000014,0.45600270826536243,-7.03996273547375,0.016586788504105637,9.810310699141409
0.18600000000000014,0.44208830145513395,-6.95720340511427,0.01652615597161016,9.810292026703332
0.18800000000000014,0.42833880825687887,-6.874746599127492,0.01646081174320517,9.810274143976883
0.19000000000000014,0.4147535766040948,-6.792615826392075,0.016391023536559177,9.810257029818072
0.19200000000000014,0.4013319100840615,-6.710833260016652,0.016317047384368025,9.8102406633787
0.19400000000000014,0.38807307049277817,-6.629419795641677,0.01623912811918761,9.81022502411489
0.19600000000000015,0.3749762802781337,-6.548395107322229,0.016157499838374098,9.810210091794582
0.19800000000000015,0.3620407248759517,-6.467777701090982,0.016072386349945463,9.810195846504037
0.20000000000000015,0.34926555494335854,-6.387584966296594,0.015984001600146028,9.810182268653461
0.20200000000000015,0.336649888493741,-6.307833224808752,0.015892550083461993,9.81016933898177
0.20400000000000015,0.3241928129373861,-6.228537778177459,0.01579822723580674,9.810157038560543
0.20600000000000016,0.311893387031725,-6.149712952830549,0.015701219811564894,9.810145348797265
0.20800000000000016,0.2997506427449452,-6.071372143389924,0.015601706245155084,9.810134251437843
0.21000000000000016,0.2877635870365776,-5.993527854183804,0.01549985699774624,9.810123728568506
0.21200000000000016,0.2759312035585194,-5.916191739029041,0.015395834889734172,9.810113762617082
0.21400000000000016,0.26425245427981037,-5.839374639354554,0.015289795419561963,9.81010433635372
0.21600000000000016,0.2527262810383423,-5.763086620734,0.015181887069442894,9.810095432891105
0.21800000000000017,0.24135160702255617,-5.687337007893071,0.015072251598522095,9.810087035684173
